ID,List,Age,Gender,NatLang_AE,KnowOtherLang,GrewUpWithOtherLangInHousehould,LangDis,Vocab,Vocab.MedSplit,ART(Hit-FalseAl),ART.MedSplit,MeanAcc_Total,Condition,Coherence,Ambiguity,Accuracy,TrialDwell,KEY_FF,KEY_GazeDur,KEY_RegrPath,KEY_ProbRegrOut,KEY_SecPass,COHCUE_FF,COHCUE_GazeDur,COHCUE_RegrPath,COHCUE_ProbRegrOut,COHCUE_SecPass,SPILLOVER_FF,SPILLOVER_GazeDur,SPILLOVER_RegrPath,SPILLOVER_ProbRegrOut,SPILLOVER_SecPass
s008,4,22,f,1,0,0,0,59,low,6,low,0.807829181,Coh_Amb,Coh,Amb,0.666666667,4415.5,225,253.4285714,370.8571429,0.285714286,320.3333333,230.4285714,230.4285714,383.1428571,0,218.3333333,302.75,357.75,1648.375,0.75,390
s009,1,19,f,1,0,0,0,75,high,23,high,0.893238434,Coh_Amb,Coh,Amb,0.75,2370.777778,183.25,183.25,183.25,0,139,264,343.5,399.1666667,0.166666667,NA,298.125,535.125,644.25,0.25,NA
s010,2,19,f,1,0,0,0,54,low,8,low,0.765124555,Coh_Amb,Coh,Amb,0.454545455,4208.6,212.6,212.6,274.8,0.2,239.3333333,260.6,287.8,287.8,0,390,330,372.6,833.8,0.4,408.3333333
s011,3,19,f,1,0,0,0,64,low,11,low,0.87544484,Coh_Amb,Coh,Amb,0.591549296,5392.571429,235.8571429,235.8571429,315.2857143,0.428571429,279.6,161.5714286,198.1428571,298.4285714,0.428571429,193,193,193,721.2857143,0.285714286,236
s012,4,18,f,1,0,0,0,62,low,11,low,0.850533808,Coh_Amb,Coh,Amb,0.666666667,3346.125,223.7142857,223.7142857,272.1428571,0.285714286,NA,293.5,379,405.875,0.125,356,282,468.125,468.125,0,270
s013,1,19,f,1,0,0,0,66,high,16,high,0.59430605,Coh_Amb,Coh,Amb,0.333333333,3691.25,331,331,331,0,NA,328,328,630,0.333333333,215,296,408.5,577.25,0.25,301
s014,2,18,f,1,0,0,0,62,low,5,low,0.765124555,Coh_Amb,Coh,Amb,0.727272727,2147.25,199.2,199.2,199.2,0,216,185.375,185.375,259.375,0.25,315,249.8571429,272.2857143,547.5714286,0.571428571,141
s015,3,20,m,1,0,0,0,66,high,15,high,0.832740214,Coh_Amb,Coh,Amb,0.676056338,2096.625,226,226,371.25,0.5,428,258.1428571,258.1428571,281.7142857,0.142857143,NA,273.625,273.625,626.125,0.5,142
s016,4,19,m,1,0,0,0,74,high,15,high,0.914590747,Coh_Amb,Coh,Amb,0.916666667,3475.454545,207.1428571,207.1428571,342.4285714,0.428571429,406,221.6666667,270.7777778,482.8888889,0.555555556,246.75,280.1818182,349.8181818,1353.545455,0.909090909,363.25
s017,1,20,m,1,0,0,0,71,high,18,high,0.850533808,Coh_Amb,Coh,Amb,0.666666667,2527.125,226.5,226.5,226.5,0,230.5,237.1428571,237.1428571,237.1428571,0,181.5,261,261,429.375,0.375,241
s019,3,27,m,1,0,0,0,71,high,41,high,0.850533808,Coh_Amb,Coh,Amb,0.577464789,2490.414634,214.2857143,214.2857143,214.2857143,0,566,198.7142857,281.5714286,281.5714286,0,NA,225.5,264.8333333,264.8333333,0,NA
s020,4,18,m,1,0,0,0,69,high,4,low,0.893238434,Coh_Amb,Coh,Amb,0.666666667,4422.125,258.8,258.8,337.6,0.2,278.6666667,211,242.8333333,242.8333333,0,258.5,328.25,618.125,1421,0.625,683.3333333
s021,1,21,f,1,0,0,0,69,high,20,high,0.765124555,Coh_Amb,Coh,Amb,0.75,1574,226.1666667,226.1666667,240.1666667,0.166666667,400,258.8571429,277.8571429,277.8571429,0,NA,219.75,254.75,520.75,0.5,136
s022,2,18,f,1,0,0,0,45,low,6,low,0.893238434,Coh_Amb,Coh,Amb,0.727272727,7354.625,255.375,255.375,653.5,0.25,220.3333333,209.2857143,209.2857143,302.7142857,0.142857143,263.3333333,264.125,322.875,530.5,0.125,403
s023,3,19,f,1,0,0,0,71,high,12,low,0.790035587,Coh_Amb,Coh,Amb,0.338028169,3778.5,307.75,307.75,307.75,0,323,187.25,187.25,187.25,0,409.5,470.6666667,548,912,1,NA
s024,4,20,m,1,0,1,0,73,high,13,high,0.786476868,Coh_Amb,Coh,Amb,1,1568.833333,170.7,170.7,207,0.1,150,194.4444444,212.7777778,245.8888889,0.111111111,169,184.5,206.5,465.6,0.6,NA
s025,1,20,f,1,0,0,0,67,high,17,high,0.829181495,Coh_Amb,Coh,Amb,0.416666667,3068.4,228.75,228.75,228.75,0,305,242.6,242.6,242.6,0,166,207.5,282.5,391.75,0.5,NA
