ID,List,Age,Gender,NatLang_AE,KnowOtherLang,GrewUpWithOtherLangInHousehould,LangDis,Vocab,Vocab.MedSplit,ART(Hit-FalseAl),ART.MedSplit,MeanAcc_Total,Condition,Coherence,Ambiguity,Accuracy,TrialDwell,KEY_FF,KEY_GazeDur,KEY_RegrPath,KEY_ProbRegrOut,KEY_SecPass,COHCUE_FF,COHCUE_GazeDur,COHCUE_RegrPath,COHCUE_ProbRegrOut,COHCUE_SecPass,SPILLOVER_FF,SPILLOVER_GazeDur,SPILLOVER_RegrPath,SPILLOVER_ProbRegrOut,SPILLOVER_SecPass
s044,4,21,f,1,0,0,0,71,high,20,high,0.786476868,Coh_UA,Coh,UA,0.915492958,2996.446154,216,216,321.875,0.25,218,232.9090909,303.0909091,357.6363636,0.272727273,143,167.5,310.6,495.2,0.4,317.5
s045,1,20,f,1,0,0,0,59,low,13,high,0.786476868,Coh_UA,Coh,UA,1,3759.916667,240,240,413,0.375,242,232.2727273,232.2727273,339.2727273,0.181818182,232.8,285.75,373.8333333,835.9166667,0.5,481.8571429
s047,3,22,f,1,0,1,0,71,high,18,high,0.93594306,Coh_UA,Coh,UA,1,3308.181818,275.125,275.125,275.125,0,260.5,221.1,236.6,236.6,0,NA,301,367,536.5,0.25,NA
s048,4,19,f,1,0,0,0,59,low,7,low,0.829181495,Coh_UA,Coh,UA,0.915492958,3809.276923,205,226.2222222,267.6666667,0.111111111,241,207.0909091,282.6363636,475.2727273,0.363636364,270.3333333,228.9,338.5,809.5,0.4,299.3333333
s049,1,18,f,1,0,0,0,53,low,8,low,0.658362989,Coh_UA,Coh,UA,0.75,5565.888889,234,234,622.625,0.375,245.25,240.3333333,295.7777778,479.4444444,0.222222222,220,301,301,647.6666667,0.555555556,244.2
s050,2,20,f,1,0,0,0,71,high,6,low,0.829181495,Coh_UA,Coh,UA,1,4211,238.1818182,299.0909091,310.3636364,0.090909091,253,280.9,381.8,405.3,0.1,274,308,369.0833333,476.6666667,0.166666667,380
s051,3,22,f,1,1,0,0,64,low,6,low,0.743772242,Coh_UA,Coh,UA,1,3533.545455,265.9090909,265.9090909,282.0909091,0.090909091,247.5,213.5555556,229.1111111,312.3333333,0.333333333,113.6666667,202.3636364,290,412.8181818,0.181818182,213.3333333
s052,4,19,f,1,0,0,0,66,high,15,high,0.786476868,Coh_UA,Coh,UA,0.915492958,2841.353846,245.2857143,268.4285714,332,0.285714286,178.75,275.5714286,275.5714286,393,0.142857143,156,237.3333333,237.3333333,597,0.666666667,187
s053,1,18,f,1,0,0,0,63,low,23,high,0.829181495,Coh_UA,Coh,UA,0.916666667,4018.909091,243.4285714,270.5714286,270.5714286,0,261.5,260.3333333,281.1111111,428,0.111111111,270.5,295,316.7,627.4,0.4,881
s054,2,20,f,1,0,1,0,62,low,15,high,0.765124555,Coh_UA,Coh,UA,1,3555.25,211.5714286,211.5714286,231.8571429,0.142857143,345,210.4,210.4,425.2,0.4,244,185.8,222.1,396.8,0.4,143.3333333
s056,4,22,f,1,0,0,0,68,high,21,high,0.765124555,Coh_UA,Coh,UA,0.830985915,4718.237288,165,190.5,190.5,0,265.5,220.4444444,329.2222222,329.2222222,0,752,250.5555556,1092.666667,1092.666667,0,555
s057,1,23,f,1,0,0,0,54,low,20,high,0.597864769,Coh_UA,Coh,UA,0.916666667,2818.636364,233.8571429,233.8571429,300.8571429,0.285714286,177,222.625,319.75,319.75,0,193,224.6666667,224.6666667,432.4444444,0.222222222,233
s058,2,22,f,1,0,0,0,52,low,7,low,0.722419929,Coh_UA,Coh,UA,0.916666667,2633,200.5,224.125,224.125,0,NA,247.9,312,312,0,400,241.7272727,379.4545455,415.8181818,0.090909091,NA
s059,3,20,f,1,0,0,0,64,low,7,low,0.683274021,Coh_UA,Coh,UA,0.909090909,4832.9,236,261.875,422.75,0.25,226.75,269.8888889,280.6666667,341,0.222222222,158.5,274.5,520.3,671.1,0.2,337.5
s060,4,34,f,1,0,0,0,58,low,8,low,0.829181495,Coh_UA,Coh,UA,1,3066.450704,252.0909091,283,301.7272727,0.090909091,303,244.9166667,308.25,356.9166667,0.083333333,257,271.4545455,339.7272727,426,0.090909091,156.5
s061,1,19,f,1,0,0,0,56,low,13,high,0.786476868,Coh_UA,Coh,UA,1,2062,201.75,201.75,201.75,0,NA,205.5,205.5,225.6666667,0.083333333,NA,285.3333333,356.25,406.0833333,0.25,NA
s062,2,23,f,1,0,0,0,58,low,12,low,0.743772242,Coh_UA,Coh,UA,0.75,3148.333333,232.125,256.875,256.875,0,343,223.875,223.875,223.875,0,146.5,236,289.7777778,649.1111111,0.222222222,310
